# Verdicts on words taken from the community Discord archive.
#
# The archive is usage, not authority. Some of it is careful work by
# people who know the grammar; some is a first draft, a typo, a bot, or
# correct Ithkuil in a version we do not implement. A word here has been
# looked at and judged, so that later work can cite it instead of
# treating an unexamined word count as evidence.
#
# The verdict is about the WORD, not about our handling of it:
#
#   ok      well-formed under v1.3.1
#   bad     not well-formed; the rule column says what it breaks
#   unsure  looked at and not settled; the reason says what is unclear
#
# An "unsure" row is a real result and is meant to stay until someone
# settles it. Deleting one because it is inconvenient is how a corpus
# starts lying.
#
# Provenance matters most for the "bad" rows. words.py drops messages
# from before 2023 because v1.3.1 was published that year and the older
# material scores 36-56% against our parser versus 61-80% after. A word
# that is bad only because it predates the grammar is marked so, since
# it is evidence about an older version and not about this one.
#
# Verdict | Word | Rule | Reason

# ── modular adjunct slot structure ──────────────────────────────────
# §4.3 has four slots: an optional w/y prefix, two (V_N C) pairs, and a
# mandatory final vowel. These carry three pairs. All five are pre-2023
# and none survives into the post-2023 corpus, so they are evidence
# about an earlier draft rather than about v1.3.1. We accepted them
# until the pair limit was corrected from three to two.
bad | euwëiwohlëu | §4.3 | three (V_N C) pairs; the adjunct has two pair slots. Pre-2023.
bad | ohlëuheuwëi | §4.3 | three (V_N C) pairs; the adjunct has two pair slots. Pre-2023.
bad | uahuehuohuö | §4.3 | three (V_N C) pairs; the adjunct has two pair slots. Pre-2023.
bad | aiwiuhayô | §4.3 | three (V_N C) pairs; the adjunct has two pair slots. Pre-2023.
bad | eëyueyoaya | §4.3 | three (V_N C) pairs; the adjunct has two pair slots. Pre-2023.

# These two are the grammar's own worked examples for §4.3, not Discord
# words. They are here because they are what settles the question above:
# they fill all four slots, and their Slot 3 consonant is the C_M "n" or
# "ň" that the table calls for. Every second-position consonant in the
# pre-2023 Discord modulars is a C_N instead, which is the disagreement
# that made the pair limit look uncertain.
ok | uhlaini | §4.3 | Slot 2 "u"+"hl", Slot 3 "ai"+"n", Slot 4 "i". Grammar example.
ok | öhwoňó | §4.3 | Slot 2 "ö"+"hw", Slot 3 "o"+"ň", Slot 4 "ó". Grammar example.

# ── root shape ──────────────────────────────────────────────────────
# §3 forbids a root beginning with h-, w- or y-. These parsed into a
# Formative with Cr = "w" and rendered back into a different word.
bad | awaçmas | §3 | root would be "w"; a root may not begin with w-.
bad | awaçmasá | §3 | root would be "w"; a root may not begin with w-.
bad | awaçmüsúi | §3 | root would be "w"; a root may not begin with w-.
bad | awáçmaisa | §3 | root would be "w"; a root may not begin with w-.

# ── lone concatenation marker ───────────────────────────────────────
# §3.1.8 joins the members of a chain with a hyphen, so a C_C marker in
# Slot I always has a hyphen and a parent formative nearby. These have
# neither, and we read each as a chain dependent standing alone. The
# leading cluster is one ParseCc claims: "h"/"hw" are the bare Type-1
# and Type-2 markers, and "hl"/"hm"/"hr"/"hn" pair a type with a Slot
# IV/VI shortcut.
#
# Not settled, because the alternative reading is not established
# either. "hnas" is the case that shows it: tokenize documents the
# intent that it read as a §4.5 Naming carrier, but ParseCarrier
# rejects it, since a carrier adjunct is C_P plus a case vowel and "as"
# is not one. Until we know what these are instead, calling them bad
# just moves the guess.
unsure | hnas | §3.1.8 / §4.5 | lone C_C "hn", or a Naming carrier we cannot parse.
unsure | höňkoň | §3.1.8 | lone Type-1 C_C, no hyphen or parent in the source.
unsure | hoňkoň | §3.1.8 | lone Type-1 C_C, no hyphen or parent in the source.
unsure | hläxëinļa | §3.1.8 | lone Type-1+W C_C, no hyphen or parent in the source.
unsure | hrabtü | §3.1.8 | lone Type-2+W C_C, no hyphen or parent in the source.
unsure | hliöčmái | §3.1.8 | lone Type-1+W C_C, no hyphen or parent in the source.
unsure | hanļkakceilliu | §3.1.8 | lone Type-1 C_C, no hyphen or parent in the source.
unsure | haeřalei | §3.1.8 | lone Type-1 C_C, no hyphen or parent in the source.
unsure | hliamžá | §3.1.8 | lone Type-1+W C_C, no hyphen or parent in the source.
unsure | hmaxanļa | §3.1.8 | lone Type-1+Y C_C, no hyphen or parent in the source.
unsure | hwëivholüpsao | §3.1.8 | lone Type-2 C_C, no hyphen or parent in the source.
unsure | hafçäxeuppëu | §3.1.8 | lone Type-1 C_C, no hyphen or parent in the source.
unsure | hlamëu | §3.1.8 | lone Type-1+W C_C, no hyphen or parent in the source.
unsure | hramëu | §3.1.8 | lone Type-2+W C_C, no hyphen or parent in the source.

# ── chains, as attested ─────────────────────────────────────────────
# Well-formed §3.1.7 chains, kept here as the positive counterpart to
# the rows above: each is a dependent carrying a C_C, a hyphen, and a
# parent that carries none. "heltyurëi-annarëi" is the word that showed
# the extractor was cutting every word containing an "e" in two, which
# is why chains were absent from the corpus entirely.
ok | heltyurëi-annarëi | §3.1.7 | Type-1 dependent, hyphen, parent with no C_C.
ok | hluňtyí-ukţgwanţëull | §3.1.7 | Type-1 dependent, hyphen, parent with no C_C.
ok | hroisvé-maţřëujja | §3.1.7 | Type-1 dependent, hyphen, parent with no C_C.
