Affix	Abv.	Degree 1	Degree 2	Degree 3	Degree 4	Degree 5	Degree 6	Degree 7	Degree 8	Degree 9	Type	Description
b	DEV	reversal/undoing	reversal/undoing in large chunks	reversal little by little	moribund/stagnant	well-maintained/well-kept	one by one	little by little	by leaps and bounds	complete & irreversible achievement	D1	Degree of Development
bc	X14	14th in physical arrangement	14th in agreed-upon order	14th in hierarchical order	14th	w/14 instances	w/14 or more instances	w/14 parts/sections	w/14 nodes/connections/points	w/14 hierarchical levels/tiers	0	Fourteen (used in the context of a number-base higher than ten)
bč	KIN	having a full-blood relationship	half-related	paternally related	maternally related	double relation (kinship)	in-law relation	parallel-related (kinship)	cross-related (kinship)	legally adopted relation	0	Kinship Relation
bç	NCD	G/FNC	N/FNC	A/FNC	G/RPS	N/RPS	A/RPS	G/AMG	N/AMG	A/AMG	B	Non-Default Context + Non-Default Perspective
bḑ	PCM	made exclusively or primarily of wood	made exclusively or primarily of metal	made exclusively or primarily of ceramic/porcelain	made exclusively or primarily of rubber	made exclusively or primarily of glass	made exclusively or primarily of resin/natural secretion	made exclusively or primarily of plastic	made exclusively or primarily of artificial/synthetic material	made exclusively or primarily of stone	0*	Primary Construction Material
bg	NEC	impossible if X is present	undesirable	unnecessary	probably unnecessary	optional	probably necessary	necessary	essential	prerequisite		
bj	CFQ	up	charm	top	red	green	blue	bottom	strange	down	0	“Colors” and “Flavors” of Quarks
bl	M12	interior perlative curved movement	interior curved movement	entering curved movement	continuous course curved movement	curved movement across	onward curved movement	exiting curved movement	exterior curved movement	exterior perlative curved movement	D1	Motion in a curve
bň	TAL	no talent for	almost no talent for	poor/little talent for	below-average talent for	fair talent for	above-average/good talent for	very good talent for	excellent talent for	outstanding talent for	D1	Degree of Innate Talent for...
br	M06	interior perlative rightward₁/leftward₂ movement	interior rightward₁/leftward₂ movement	entering rightward₁/leftward₂ movement	continuous course rightward₁/leftward₂ movement	rightward₁/leftward₂ movement across	onward rightward₁/leftward₂ movement	exiting rightward₁/leftward₂ movement	exterior rightward₁/leftward₂ movement	exterior perlative rightward₁/leftward₂ movement	D1	Perpendicular-planar translative motion
bř	SPS	set of X with enough members for (sub-)patterns/subsets	2nd-level superset of X based on additional order of complexity	higher-order superset of X based on additional order of complexity (subsets independent)	higher-order superset of X based on additional order of complexity (subsets interdependent)	high-order super-system with emergent/synergistic properties	higher-order superset of X with emergence based on additional order of complexity (subsets interdependent)	higher-order superset of X with emergence based on additional order of complexity (subsets independent)	2nd-level superset of X with emergence based on additional order of complexity	set of X with emergence and enough members for (sub-)patterns/subsets	C	Superset
bš	UTE	power/energy source for X(-ing)	supporting structure/base for X	raw material resource allowing X	conduit-like tool through which one X’s	medium through which one X’s	covering/protective element used to allow X	enabling element/device to allow X	environment/situation allowing X	force allowing/causing X	0	Utilitative or Enabling Resource
bv	TXN	3rd-subgroup [strain₂]	sub-subgroup [species₂]	subgroup [genus₂]	member/represenative [tribe₂]	group/club [family₂]	supergroup [order₂]	3rd-supergroup [class₂]	4th-supergroup [phylum₂]	5th-supergroup [kingdom₂]	D1	Taxonomic Classification Hierarchy (added to base root forms for various groupings)
bx	DCR	decrease too slowly	decrease very slowly	decrease slowly	decrease slower than normal	decrease at a normal speed	decrease faster than normal	decrease fast	decrease very fast	decrease too fast	D2	Decrease
bz	FEA	functional portion/piece of X	description of X	sample of X	display of X	instance of X	aspect/characteristic/trait of X	feature/function of X	highlight/key feature of X	example of X	0	Featural Properties
bž	PHS	(PCT) Punctual	(ITR) Iterative	(REP) Repetitive	(IMT) Intermittent	(RCT) Recurrent	(FRE) Frequentative	(FRG) Fragmentative	(VAC) Vacillative	(FLC) Fluctuative	0	Phase
bẓ	MCS	(SUB) Subjunctive	(ASM) Assumptive	(SPC) Speculative	(COU) Counterfactive	(HYP) Hypothetical	(CCA) Antecedent	(CCS) Subaltern	(CCQ) Qualifier	(CCP) Precedent	0*	Mood and Case-Scoping [n.b. 0=(CCV) Successive]
c	GID	female (🚺︎)	intergender/androgynous	male (🚹︎)	third gender	non-binary	genderfluid	bigender/polygender	genderqueer	agender	0*	Gender Identity (i.e., one’s chosen identification in relation to sex)
č	SWR	nearest preceding referent	2nd nearest preceding referent	3rd party not previously mentioned	referring to sentence focus	first referent mentioned	referring to sentence topic	3rd party non-transrelative referent	2nd order transrelative referent	higher order transrelative referent	0	Switch Reference & Obviative Specification
cb	RSN	for no reason	for foolish/naïve reason	out of curiosity	in defense/for protection	to provoke/elicit reaction	to entice	to show appreciation	for good/appropriate reason	for virtuous reason	0	Reason for an Emotional State or Motivation for an Action
čb	INB	inability to do so due to lack of resources	inability to do so due to lack of physical means	inability to do so due to lack of skill/knowledge	inability to do so due to lack of resources	inability to do so due to blockage of access to physical means	inability to do so due to blockage of access to skill/knowledge	inability to do so due to psychological trauma	inability to do so due to physical trauma	inability to do so due to lack of desire	0	Inability/Incapacity Due To…
çb	SPN	with accompanying rotating (away from observer) motion along X axis	with accompanying rotating (east-west) motion along vertical axis	with accompanying rotating (clockwise) motion along Z axis	with accompanying rotating (towards observer) motion along X axis	with accompanying rotating (west-east) motion along vertical axis	with accompanying rotating (anticlockwise) motion along Z axis	with accompanying bidirectional rotating (towards & away from observer) motion along X axis	with accompanying bidirectional rotating (east-west & west-east) motion along vertical axis	with accompanying bidirectional rotating (clockwise & anticlockwise) motion along Z axis	B	Simultaneous Spinning Motion
cč	IMX	mythological	religion/scripture-based	legendary	fantastic	fictional	dreamed up	made-up/pretend/imagined	theoretical	hypothetical	D1	Type of Imaginary Existence
çc	WAK	quasi-linear trail left behind showing passage of entity	quasi-linear spread of entity stretching behind linearly moving “head”	quasi-linear wake left behind passage as demarcation/boundary/barrier	quasi-planar spread left behind showing passage of entity	2D quasi-planar spread stretching behind moving front	2-D quasi-planar trail/wake/spread left behind passage as area of demarcation/zone/restricted area	3D volume left behind showing passage of entity	3D volume inundated by spread of moving front	3D volume left behind passage of moving front as volume/spatial area of demarcation/zone	B	Spread/wake/trail/area/expanse created by passage of entity
