Root	Stem 0 / Basic	Stem 1	Stem 2	Stem 3	Contential	Constitutive	S1 Objective	S2 Objective	S3 Objective	S1 Completive	S2 Completive	S3 Completive	Dynamic	S1 Wikidata	S2 Wikidata	S3 Wikidata
b	belief/doctrine/dogma	believing	faith/belief in doctrine	dogma/unquestionable belief												
bb	even/level (parallel to reference plane)	degree of evenness	decrease in evenness	increase in evenness												
bbl	sink fixture	sink fixture	use of a sink	being deprived of a functioning sink												
bbr	washbasin	washbasin	use of a washbasin	being deprived of a functioning washbasin												
bbř	bidet	bidet	use of a bidet	being deprived of a functioning bidet												
bbw	bathtub	bathtub	use of a bathtub	being deprived of a functioning bathtub												
bby	shower stall	shower stall	use of a shower stall	being deprived of a functioning shower stall												
bc	fourteen	set/group of fourteen entities	something with fourteen aspects/facets	fourteenth entity in a sequence												
bč	kin/extended family relation	family relation	genetic/marital family relation	adoptive family relation												
bç	registration/application/enlistment/reservation	registration/application	enlistment	reservation/booking												
bd	concavity/depression	degree of concavity	decrease in concavity	increase in concavity												
bḑ	cucumis 1	European cantaloupe plant (Cucumis melo var. cantalupensis)	North American cantaloupe plant (Cucumis melo var. reticulatus)	muskmelon plant (other Cucumis melo variants)												
bḑbl	zygophyllaceae 3	lignum-vitae (genus Guaiacum)	Texas gualacum/Texas lignum-vitae/soapbush/huayacán (genus Porlieria)	maracaibo lignum-vitae, verawood, Argentine lignum-vitae/Paraguay lignum-vitae (genus Bulnesia)												
bḑbr	other zygophyllaceae & krameriaceae	chaparral, creosote bush/greasewood (genus Larrea)	other zygophyllaceous plant (other Zygophyllaceae)	rhatany/rattany, krameria, abrojo colorado (genus Krameria)												
bḑbw	zygophyllaceae 1	Syrian bean-caper (genus Zygophyllum previously not classified in genera Fagonia, Tetraena)	fagonbush, simple-leaved bean caper/hureim (genus Zygophyllum previously classified in genera Fagonia, Tetraena)	coast twin-leaf (genus Roepera)												
bḑby	zygophyllaceae 2	California caltrop, Arizona poppy, hairy caltrop, big caltrop, warty caltrop, perennial caltrip, Caribbean caltrop (genus Kallstroemia)	Jamaican feverplant/puncture vine, cork hopbush, goat’s-head/bullhead, cat’s-head/devil’s eyelashes/tackweed (genus Tribulus)	Egyptian balsam, Angolan greenthorn, small torchwood (genus Balanites)												
bḑd	bambusoideae (bamboo)	🎋 tropical woody bamboo (Bambuseae)	tropical herbaceous bamboo (Olyreae)	temperate woody bamboo, hill cane, switchcane, river cane/giant cane (Arundinarieae)												
bdl	hijab/shayla	wearing a hijab/shayla	wearing a hijab/shayla as fashion	wearing a hijab/shayla as an indicator												
bḑl	chilopod (centipede)	house centipede (Scutigeromorpha)	stone centipede (Lithobiomorpha)	soil centipede, tropical centipede, craterostigmus centipede (Geophilomorpha, Scolopendromorpha, Craterostigmomorpha)												
bḑm	benincaseae 2	nara melon, gemsbok cucumber (genus Acanthosicyos)	scarlet gourd, ivy gourd/tindora/kowai fruit (genus Coccinia)	Garcin’s bur cucumber (genus Blastania)												
bḑn	benincaseae 1	watermelon (genus Citrullus)	winter melon/wax gourd/ash gourd/white gourd/tallow gourd/Chinese preserving melon (Benincasa hispida)	tinda/Indian squash/round melon (Benincasa fistulosa)												
