B|want / desire / request
BB|coat / jacket
BD|necktie / cravatte
BDh|octopus
BG|squid
BJ|eel
BK|lamprey
BKW|pike
BKʰ|shark
BK’|ray
BL|middle, center (as seen parallel to long axis of entity)
BLW|aquamarine
BM|scallop
BN|mussel
BQ|crab
BQW|bass
BQʰ|lobster
BQ’|shrimp / prawn
BR|yellow
BT|trout
BTW|cod
BTʰ|salmon
BT’|tuna
BV|application of knowledge / technology
BW|mouth / oral
BY|dog
BZ|description / account / story
BZD|position between / amidst / among (planar 2-dimensional context, e.g., among others in a crowded room)
BZDW|python
BZG|position between / amidst / among (linear unidimensional context, e.g., between two others in a queue)
BZGR|viper
BŘ|clam
C|existence / ontology / metaphysics
CK|hat
CKʰ|liquid (other than water) as substance and tool
CL|0/-y/-z spatial orientation / position / direction w/ stems patterned after root -f- ; based on the following 3-dimensional notational schema: -x = left, +x = right, -y = behind, +y = ahead, -z = below, + z = above, 0 = level with or in line with specific x, y, or z axis
CM|longitude / east-west
CN|plant types
CP|-x/+y / 0 spatial orientation / position / direction w/ stems patterned after root -f- ; based on the following 3-dimensional notational schema: -x = left, +x = right, -y = behind, +y = ahead, -z = below, + z = above, 0 = level with or in line with specific x, y, or z axis
CQ|six
CR|0/-y / 0 spatial orientation / position / direction w/ stems patterned after root -f- ; based on the following 3-dimensional notational schema: -x = left, +x = right, -y = behind, +y = ahead, -z = below, + z = above, 0 = level with or in line with specific x, y, or z axis
CT|+x/+y / 0 spatial orientation / position / direction w/ stems patterned after root -f- ; based on the following 3-dimensional notational schema: -x = left, +x = right, -y = behind, +y = ahead, -z = below, + z = above, 0 = level with or in line with specific x, y, or z axis
CT’|three-dimensional block-like shapes / forms
CW|-x / 0/0 spatial orientation / position / direction w/ stems patterned after root -f- ; based on the following 3-dimensional notational schema: -x = left, +x = right, -y = behind, +y = ahead, -z = below, + z = above, 0 = level with or in line with specific x, y, or z axis
CY|mouse
Cʰ|grief / sadness from loss / mourning
C’|tenderness / nuturing / caring
D|name / designation / title
DBR|inflammatory disorder
DBY|pulmonary disorder
DD|pants
DDL|degenerative tissue disorder
DDR|mental disorder (i.e., no discernible lesion)
DDW|topical skin disorder
DDY|neuro-muscular / myalgic disorder
DDŘ|peripheral nervous system disorder
DG|apron
DGL|cellular / metabolic disorder
DGR|malignant tumorous /neoplastic disorder; cancer
DGV|cardio-vascular disorder
DGW|ocular / eye disorder
DGY|back pain disorder (neuro-muscular, not spinal)
DK|miscellaneous body parts
DL|hand
DLW|nasal disorder
DLY|mid / inner ear disorder; hearing problem
DM|robe(s)/toga
DMY|neurological disorder
DN|goodwill / friendliness
DNW|liver disorder
DR|manage / guidance / compliance
DV|smoothness / roughness (= tactile coarseness)
DW|seller + buyer
DY|sense / sensation
Dh|water as substance and tool
DhBL|genetic disorder
DhBV|glandular / endocrine disorder
DhBW|musculo-skeletal disorder
DhBZ|upper gastric disorder; throat / mouth disorder
DhGL|blood / hematological disorder
DhGR|invasive skin disorder
DhGV|spinal condition or disorder
DhGW|microbial infection
DhGY|physical brain disorder (i.e., discernible lesion)
DhGZ|lower gastro-intestinal disorder; bowel problem
DhL|maroon
DhM|the common cold
DhMW|non-malignant tumorous / neoplastic disorder; non-cancerous growth
DhMY|auto-immune condition
DhN|subjective feeling of safety / security, relaxation, and peace-of-mind one feels by being at or returning home; "home-sweet-home"feeling.
DhNW|mid gastric disorder; stomach / esophagal disorder
DhW|alcohol, grain
DhY|tail
DhŘ|alcohol, wood
DŘ|orange
F|spatial orientation / position / direction
FC|generic flying bug
FF|pleasure- or pain-based vocalization
FFM|predator + prey
FFR|allies
FFY|gnat
FKL|matchmaker + parties being matched
FKR|mosquito
FKW|entertainer / emcee + audience
FKY|invader + invadee
FKÇ|aphid
FKŘ|warring parties
FKŢ|lender + borrower
FKʰ|lead
FKʰW|safflower
FK’|sulfur
FL|black
FLY|housefly
FN|cousin
FPL|perpetrator + victim
FPÇ|butterfly
FPŢ|firefly
FQL|advisor + party seeking advise
FQR|fellowship, "band of brothers", fraternity, sorority, etc.
FQh|bother, annoyance (based on displeasure at or disagreement with external circumstances)
FQŢ|fellow hobbyists or enthusiasts
FR|time period / duration less than one day
FS|side / flank, lateral area
FSK|club members
FSKʰ|dragonfly
FSK’|owner + pet
FSM|wasp
FSN|members of business / executive management
FSP|relationship between business associates
FSP’|grasshopper
FSQ|members of secret society
FSQW|pheasant
FSQʰ|sage + disciples
FSQ’|"center of attention" + sycophants
FST|moth
FSY|flea
FT|fullness / emptiness
FTʰ|legging / sock
FY|eight
FŘ|infirmity / physical disability
FŠ|abdomen / thorax / torso / chest
FŠK|bumblebee
FŠKʰ|fan + celebrity
FŠK’|supervisor / boss + employee
FŠP|honeybee
FŠP’|hornet
FŠQʰ|mantis
FŠTʰ|locust
FŢ|insect
G|componential part of whole
GB|fantastic or imaginary creature
GD|neck
GDR|albatross
GDh|cloth / fabric
GG|veil
GL|state of health / illness / well-being
GM|two-dimensional outline shapes
GN|wax
GR|nutrition / nutritional consumption
GV|article of clothing
GW|ambulation
GY|white
GZ|tenseness (= strain)
GZB|intertwined / intermingled / intermixed position / state
GZBL|cobra
GZD|+x / 0/+z spatial orientation / position / direction w/ stems patterned after root -f- ; based on the following 3-dimensional notational schema: -x = left, +x = right, -y = behind, +y = ahead, -z = below, + z = above, 0 = level with or in line with specific x, y, or z axis
GZDR|rattlesnake
GZDW|asp
GZL|0 / 0/0 spatial orientation / position / direction w/ stems patterned after root -f- ; based on the following 3-dimensional notational schema: -x = left, +x = right, -y = behind, +y = ahead, -z = below, + z = above, 0 = level with or in line with specific x, y, or z axis
GZV|+x / 0/-z spatial orientation / position / direction w/ stems patterned after root -f- ; based on the following 3-dimensional notational schema: -x = left, +x = right, -y = behind, +y = ahead, -z = below, + z = above, 0 = level with or in line with specific x, y, or z axis
GŘ|sky blue
J|vertical motion / ascent & descent / up & down
JGW|hawk
JK|oval
JM|in-law / foster relations
JPʰ|egg-shaped
JQ’|platinum
JTʰ|half-circle / semi-circle
JW|scarf
K|path-oriented translative motion
KC|lower order life form
KF|types of hard or non-living bodily tissues
KK|solidity / hollowness (= permeability)
KKR|oblique vertical motion
KK’|business partnership
KL|water in natural motion
KLW|turquoise
KM|weight / mass
KN|snake
KP|length
KR|tool / instrument
KS|two / duality
KSF|position between / amidst / among (volume-based 3-dimensional context, e.g., sky crowded with balloonists)
KSL|-x / 0/+z spatial orientation / position / direction w/ stems patterned after root -f- ; based on the following 3-dimensional notational schema: -x = left, +x = right, -y = behind, +y = ahead, -z = below, + z = above, 0 = level with or in line with specific x, y, or z axis
KSP|-x/+y/+z spatial orientation / position / direction w/ stems patterned after root -f- ; based on the following 3-dimensional notational schema: -x = left, +x = right, -y = behind, +y = ahead, -z = below, + z = above, 0 = level with or in line with specific x, y, or z axis
KSR|0 / 0/-z spatial orientation / position / direction w/ stems patterned after root -f- ; based on the following 3-dimensional notational schema: -x = left, +x = right, -y = behind, +y = ahead, -z = below, + z = above, 0 = level with or in line with specific x, y, or z axis
KSS|hadrons (composite fermions or composite bosons)
KST|+x/+y/+z spatial orientation / position / direction w/ stems patterned after root -f- ; based on the following 3-dimensional notational schema: -x = left, +x = right, -y = behind, +y = ahead, -z = below, + z = above, 0 = level with or in line with specific x, y, or z axis
KSW|-x / 0/-z spatial orientation / position / direction w/ stems patterned after root -f- ; based on the following 3-dimensional notational schema: -x = left, +x = right, -y = behind, +y = ahead, -z = below, + z = above, 0 = level with or in line with specific x, y, or z axis
KT|rock / mineral-based soil / ground
KTʰ|atom / nucleus / electron cloud
KT’|pressure-based or reaction-based or gravitation-based equilibrium / motion / propulsion
KV|quality or property of matter
KW|color / hue
KY|coffee plant
KÇ|affective bodily sensations (surface-tactile)
KČ|excuse / foregiveness / absolution / amnesty
KČʰW|ginger
KŠ|fool / clown
KŠP|-x/-y/+z spatial orientation / position / direction w/ stems patterned after root -f- ; based on the following 3-dimensional notational schema: -x = left, +x = right, -y = behind, +y = ahead, -z = below, + z = above, 0 = level with or in line with specific x, y, or z axis
